"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"30506",1,1,1,1,0,0,0,0
"35054",1,1,1,0,0,0,0,0
"13665",0,0,0,0,0,0,0,0
"31512",0,0,0,0,0,0,0,0
"34908",1,1,1,1,1,1,1,1
"31692",1,1,1,0,0,1,1,1
"33930",1,1,1,1,1,1,1,1
"18096",1,1,0,1,1,1,1,1
"26950",0,0,0,0,0,0,0,1
"34890",1,1,1,1,0,0,0,0
"26847",1,1,1,1,1,1,0,0
"12884",0,0,0,0,1,0,0,0
"31234",1,1,0,0,0,0,0,0
"12740",1,1,1,1,1,1,1,1
"31948",1,1,1,0,0,0,0,0
"13057",0,0,0,0,0,0,0,0
"20303",1,1,0,0,1,1,1,1
"16224",1,1,1,1,1,1,1,1
"33106",1,1,1,0,0,1,1,1
"42918",1,0,0,0,0,0,0,0
"25909",1,1,1,1,1,1,1,1
"29750",0,1,0,1,1,1,1,1
"24024",0,0,0,0,0,0,1,0
"19578",1,1,1,0,1,1,1,0
"26517",1,1,1,1,1,0,1,1
"31389",1,1,1,0,0,0,0,0
"32421",1,1,0,0,0,0,0,0
"24258",1,1,1,0,0,0,0,0
"42288",1,1,0,0,0,0,0,0
"39612",1,1,1,1,1,1,1,1
"34045",1,1,0,0,0,0,0,0
"31209",1,1,1,1,0,1,1,0
"28652",1,1,1,0,0,0,0,0
"19243",1,1,1,0,0,0,0,0
"37641",1,1,1,0,0,0,0,0
"42095",0,0,0,0,0,1,1,0
"31232",1,1,1,0,0,0,0,0
"27165",1,1,1,0,0,0,0,0
"27890",1,1,0,1,0,0,0,0
"28353",1,1,0,1,0,0,1,0
"24417",1,1,1,1,1,1,1,1
"38361",1,1,1,0,1,0,1,1
"33846",1,1,1,0,0,0,0,1
"17342",1,1,0,1,1,1,1,0
"25166",1,1,1,0,0,0,1,0
"29089",1,1,1,0,0,0,0,0
"15693",1,1,1,0,0,0,0,0
"33575",1,0,0,0,0,0,0,0
"22729",0,0,0,0,1,1,1,1
"17718",1,1,1,1,0,0,0,1
"17340",1,1,1,0,0,1,1,0
"13906",1,1,1,1,0,1,1,1
"34947",0,0,0,0,0,0,0,0
"17781",1,1,1,0,1,1,0,1
"16154",1,1,1,0,0,0,0,0
"14862",0,0,0,0,1,1,0,0
"16396",1,1,1,1,0,1,0,0
"34024",1,1,1,1,1,1,1,1
"13392",1,1,1,0,0,0,0,0
"29935",1,1,1,1,1,1,1,1
"33560",1,1,1,0,0,0,0,0
"31315",0,0,0,0,0,0,1,1
"22570",1,1,0,0,0,1,0,0
"41280",1,1,0,0,0,0,0,0
"31816",1,1,1,1,1,1,1,1
"27835",1,0,0,0,1,0,0,0
"29994",1,1,0,1,1,0,1,0
"19480",1,1,1,0,0,0,0,0
"39301",1,1,1,1,1,1,0,1
"22947",1,1,1,0,0,1,1,0
"29567",1,1,1,0,0,0,0,0
"19985",1,1,1,1,1,1,1,1
"16623",1,1,1,1,0,0,0,0
"24754",1,1,1,0,0,0,0,0
"32300",1,1,1,1,1,1,1,1
"43154",0,0,0,0,1,0,1,1
"17268",0,0,0,0,1,0,0,0
"23304",0,0,0,0,0,0,0,0
"28991",1,1,1,1,0,0,0,0
"30029",1,1,1,1,1,1,1,1
"28741",1,1,1,1,1,1,1,1
"38058",1,1,0,0,1,0,1,0
"38346",0,0,0,0,0,0,1,0
"32525",1,1,1,1,0,1,0,0
"33854",1,1,1,0,0,0,1,1
"20345",1,1,1,1,1,1,1,1
"16077",1,1,1,0,1,0,1,1
"20209",1,1,1,0,0,0,0,0
"31681",1,1,1,0,0,0,0,0
"30277",1,1,1,0,0,0,0,0
"31578",1,1,0,0,1,0,1,0
"22900",0,0,0,0,0,0,0,0
"10952",1,1,0,0,1,0,0,0
"15581",0,0,0,0,0,0,0,0
"32906",1,1,1,0,0,0,0,0
"13053",1,1,1,1,1,1,1,1
"30916",1,1,1,0,0,0,0,1
"18196",1,1,1,1,1,1,1,0
"31910",0,0,0,0,0,0,0,0
"22912",1,1,1,1,1,0,1,1
"11807",1,1,1,1,0,0,1,0
"16803",0,0,0,0,0,0,0,0
"19296",0,0,0,0,0,0,0,0
"15907",1,1,1,1,1,1,1,1
"22970",1,1,1,0,0,0,0,1
"32216",1,0,0,0,0,0,1,0
"33267",1,1,0,1,1,1,1,1
"17067",1,0,0,0,0,0,0,0
"17082",1,1,0,0,1,0,1,0
"32673",1,1,1,0,0,0,0,0
"30076",1,1,1,1,1,1,1,1
"29827",1,1,1,0,0,1,1,0
"32103",0,1,0,1,0,0,0,0
"30533",1,1,1,0,0,0,0,0
"35694",0,0,0,0,0,0,0,0
"29683",1,1,1,0,1,1,1,1
"29540",1,1,0,1,1,0,0,0
"31517",1,1,1,0,0,0,0,1
"29043",0,0,0,0,0,0,0,0
"30834",1,1,1,0,0,0,0,0
"24685",0,0,0,0,0,0,0,0
"15986",1,1,1,0,0,0,0,1
"29996",1,1,1,0,0,0,0,0
"15964",1,1,1,0,0,0,0,0
"30815",1,1,1,0,0,0,0,0
"18009",1,1,1,1,1,1,1,1
"12138",1,1,1,0,0,0,0,0
"32029",1,1,1,0,0,0,0,0
"37563",1,1,0,1,0,1,1,1
"29105",1,1,1,0,0,0,0,0
"27634",1,1,1,0,1,1,0,1
"30524",1,1,1,0,0,0,0,0
"30805",0,0,0,0,0,0,0,0
"30026",0,0,0,0,0,0,0,0
"30077",1,1,1,0,1,0,1,1
"29460",1,1,1,1,1,1,1,1
"29097",1,1,1,0,0,0,0,0
"32599",0,0,0,0,0,0,0,0
"28297",1,1,1,0,0,0,0,0
"29056",1,1,1,1,1,1,1,0
"31867",0,0,0,0,0,1,1,0
"31351",1,1,0,1,0,1,0,0
"13251",1,1,1,0,0,0,0,0
"33605",1,1,0,0,0,0,1,0
"15237",1,1,0,0,1,0,0,0
"14764",1,1,1,0,1,0,0,1
"34928",1,1,0,1,1,0,0,1
"37464",1,1,0,0,0,1,0,1
"42183",1,1,1,0,1,0,0,0
"31685",1,1,1,0,1,0,0,0
"30546",0,0,0,0,0,0,0,0
"31667",1,1,1,1,0,0,1,0
"37215",1,1,1,1,1,1,1,1
"22694",1,1,0,0,0,0,0,0
"18678",1,1,1,1,1,1,1,1
"21157",0,0,0,0,1,0,0,0
"30639",1,1,0,0,0,0,0,0
"30878",1,1,0,0,0,0,0,0
"32007",0,0,0,0,0,0,1,0
"32541",0,0,0,0,0,0,0,0
"31940",1,1,0,0,0,0,0,0
"11988",1,1,1,0,1,0,0,1
"29242",1,1,0,0,0,1,0,0
"36330",0,0,0,0,0,0,1,0
"11715",0,0,0,0,0,1,0,0
"10298",1,0,0,0,1,1,1,0
"38139",1,1,1,0,0,0,0,0
"25854",0,0,0,0,0,0,0,1
"31450",1,1,1,1,0,0,0,0
"10204",1,1,1,0,0,0,0,0
"29606",1,1,0,1,0,0,1,0
"27574",0,0,0,0,1,0,0,0
"32499",1,1,1,0,0,1,0,0
"32365",1,1,0,0,1,1,1,1
"29596",1,1,1,0,0,0,0,0
"27800",1,1,1,0,0,0,0,0
"33821",0,0,0,0,0,0,0,0
"38060",1,1,1,1,1,0,1,0
"32509",0,0,0,0,1,0,0,0
"43589",0,0,0,0,0,0,0,0
"27498",1,1,0,0,0,0,0,0
"19020",1,1,1,1,0,0,0,0
"29595",0,1,0,1,1,1,1,0
"21509",0,0,0,0,0,0,0,0
"21519",1,1,1,1,1,1,1,1
"25878",1,1,0,0,0,0,0,0
"32260",1,1,1,1,1,1,1,1
"28181",1,1,1,0,0,0,0,0
"41117",1,1,1,0,1,1,1,1
"33927",1,1,0,0,0,0,0,0
"36927",1,1,1,1,1,1,1,1
"27296",1,1,1,1,1,1,1,1
"17432",1,1,1,1,1,0,1,0
"30936",1,0,0,0,0,0,0,0
"31127",1,1,1,0,1,0,0,0
"28279",1,1,1,0,0,0,0,0
"43317",1,1,1,0,0,0,1,1
"23640",1,1,0,0,1,1,1,1
"11053",1,1,0,0,0,0,0,0
"23186",1,1,0,1,0,0,0,0
"37258",1,1,0,0,0,0,1,0
"29709",1,1,1,0,0,1,0,0
"11282",1,1,0,0,0,0,0,0
"31208",1,0,0,0,0,0,0,0
"30730",1,1,1,1,0,1,1,0
"21978",1,1,0,0,0,0,0,0
"28922",0,0,0,0,1,1,0,1
"35762",1,1,1,0,0,0,0,1
"16545",0,0,0,0,0,0,0,0
"29739",1,1,1,1,1,0,0,1
"42353",1,1,0,0,0,0,0,1
"23326",1,1,1,0,0,0,0,0
"34969",1,1,0,1,1,1,1,0
"25262",0,0,0,0,0,0,0,0
"16217",1,1,1,1,1,1,1,1
"22113",1,1,1,1,0,0,1,1
"23406",1,1,0,0,1,0,0,0
"24743",1,1,1,0,0,0,0,0
"25165",1,1,1,0,0,0,0,0
"36983",1,1,1,0,0,0,0,0
"15296",1,1,0,0,0,0,0,0
"15421",0,0,0,0,0,1,1,0
"28302",0,0,0,0,0,0,0,0
"30433",0,0,0,0,1,0,0,1
"22464",1,1,1,0,1,0,0,0
"27049",1,1,0,1,1,1,1,1
"17016",1,1,1,1,0,0,0,0
"34103",1,1,0,1,1,1,1,1
"29926",1,1,1,1,0,0,0,0
"33272",1,1,0,1,0,0,0,0
"30028",1,1,1,0,1,1,1,1
"14162",1,1,1,1,1,1,1,1
"28696",1,1,1,0,0,0,0,0
"20649",1,1,1,0,0,0,1,1
"18681",1,1,1,0,1,0,0,0
"19549",1,1,1,0,0,0,0,0
"28997",1,1,1,0,1,1,1,1
"29487",1,0,0,0,0,0,0,0
"14872",1,1,1,0,0,0,0,0
"27336",1,1,1,0,0,1,0,1
"23682",1,1,1,0,0,0,0,1
"10806",0,1,0,1,0,0,0,0
"30128",1,1,1,1,1,0,0,0
"11402",1,1,1,0,0,0,0,0
"38343",1,1,0,0,0,0,0,0
"38571",1,1,1,0,0,0,0,0
"31679",1,1,1,0,0,0,0,0
"31725",1,1,0,0,1,0,0,0
"28826",1,1,1,1,1,1,1,1
"39804",1,1,1,1,1,1,1,1
"30545",1,1,1,1,0,0,0,0
"19180",0,1,0,1,0,0,0,0
"41917",1,1,0,0,0,0,0,0
"20024",1,1,1,0,0,0,0,0
"41434",1,1,1,0,1,1,0,0
