"hhnr","Period_1","Period_2","Period_3","Period_4","Period_5","Period_6","Period_7","Period_8"
"30524",0,0,1,0,0,0,0,0
"30805",0,0,0,0,0,0,0,0
"30026",1,1,0,0,0,0,0,0
"30077",0,0,0,0,0,1,1,1
"29460",0,1,1,0,1,0,0,1
"29097",0,0,0,0,0,0,0,0
"32599",0,0,1,1,1,1,0,1
"28297",0,0,0,0,0,0,0,0
"29056",0,0,0,0,0,0,0,0
"31867",0,0,0,0,0,0,0,0
"31351",0,0,0,0,0,0,1,0
"13251",0,0,0,0,0,0,0,0
"33605",0,0,0,0,0,0,0,0
"15237",0,0,0,0,0,0,0,0
"14764",0,0,0,0,1,0,0,0
"34928",0,0,0,0,0,0,0,0
"37464",0,1,0,0,1,0,0,0
"42183",1,0,0,1,0,0,0,0
"31685",0,0,0,0,0,0,0,0
"30546",0,0,0,1,0,0,1,0
"31667",0,0,0,0,0,0,0,0
"37215",0,0,0,0,0,0,0,1
"22694",0,0,0,0,0,0,0,0
"18678",0,0,0,0,0,0,0,0
"21157",1,1,1,1,0,0,0,0
"30639",1,0,0,0,0,0,0,0
"30878",0,0,0,0,0,0,0,0
"32007",0,0,0,0,0,0,0,0
"32541",0,0,1,1,0,1,0,0
"31940",0,0,0,0,0,0,0,0
"11988",1,1,1,1,0,0,1,0
"29242",1,0,1,1,1,0,1,0
"36330",1,0,0,0,0,0,0,0
"11715",0,0,0,0,0,0,0,0
"10298",0,0,0,0,0,0,0,0
"38139",0,0,0,0,0,0,0,0
"25854",0,0,0,0,0,0,0,0
"31450",1,1,0,0,0,1,0,0
"10204",0,0,0,0,0,0,0,0
"29606",0,0,1,0,0,1,0,0
"27574",0,0,0,0,0,0,0,0
"32499",0,0,0,0,0,0,0,0
"32365",0,0,0,0,0,0,0,0
"29596",1,1,1,0,1,1,1,1
"27800",0,0,0,0,0,0,0,0
"33821",0,0,0,0,0,0,0,0
"38060",0,0,0,1,0,0,0,0
"32509",0,0,0,0,0,0,0,0
"43589",0,0,0,0,0,0,0,0
"27498",1,0,1,0,0,0,0,0
"19020",0,0,0,0,0,0,0,0
"29595",1,1,0,0,0,0,0,0
"21509",0,0,0,0,0,0,0,0
"21519",0,0,0,0,0,0,0,0
"25878",0,0,0,0,0,0,0,0
"32260",1,0,0,1,1,1,1,0
"28181",0,0,0,0,1,1,1,0
"41117",0,0,0,1,0,0,0,0
"33927",0,0,0,0,0,0,0,0
"36927",0,0,0,1,0,0,0,0
"27296",0,0,0,0,0,0,0,0
"17432",1,0,0,0,0,0,0,0
"30936",0,0,0,0,0,0,0,0
"31127",0,0,0,0,0,0,0,0
"28279",0,0,0,0,0,1,0,0
"43317",0,0,0,0,0,0,0,0
"23640",1,0,0,0,0,0,0,0
"11053",0,1,0,0,1,0,0,1
"23186",0,0,0,0,0,0,0,0
"37258",1,0,1,1,1,0,1,0
"29709",0,0,0,0,0,0,0,0
"11282",1,1,0,0,0,1,0,0
"31208",0,0,1,0,0,0,0,0
"30730",1,0,0,0,0,0,0,0
"21978",0,0,0,0,0,0,0,0
"28922",0,0,0,0,0,0,0,0
"35762",0,0,0,0,0,0,0,0
"16545",0,0,1,0,0,0,0,0
"29739",0,1,1,1,1,1,1,1
"42353",1,0,0,0,1,0,0,1
"23326",0,0,0,0,0,0,0,0
"34969",0,0,0,0,0,0,0,0
"25262",0,0,0,0,0,1,0,0
"16217",0,0,0,0,0,0,0,0
"22113",0,0,0,0,0,1,1,0
"23406",0,0,0,0,0,0,0,0
"24743",0,0,0,0,0,0,0,0
